,SEAT_COUNT,BOARD_TYPE,SCREEN_SIZE,INPUTS,TECH_TYPE,CLASSROOM_TYPE,COMPUTER_LAB,CPT,LAST_REFRESH,CAMERA_TYPE,PODIUM_TYPE,COMPUTER,CAMERA_MIC,DISPLAY_TYPE,DISLAY_COUNT,EQUIP_LOC,ADDITIONAL_ROOM_SPECS,LCR_COST,ROOM_ID,ROOM_NAME,BUILDING_NAME
126,36,Whiteboard - Large,6-foot,"HDMI, VGA, Audio - Line",Single Display,Classroom/Lab,None,II,2014,Document,Smart,PC,None,Data Projector,1,None,None,20000.00,4853,SC222,Spoelhof Center
127,49,Whiteboard - Small,Large Format,"HDMI, Wireless Projection",Single Display,Classroom/Lab,None,II,2019,None,Basic,None,None,Data Projector,1,None,None,20000.00,4854,SC170,Spoelhof Center
128,None,Tack Board,8-foot,VGA,Single Display,Classroom/Lab,None,II,2019,Document,Basic,Mac,None,Data Projector,1,None,None,20000.00,4855,SC150,Spoelhof Center
129,24,Chalkboard - Large,7-foot,"HDMI, VGA, Audio - Line",Dual Display,Classroom/Lab,None,II,2022,Document,Smart,Mac,None,Data Projector,1,None,None,20000.00,4856,SC140,Spoelhof Center
130,33,Chalkboard - Large,8-foot,VGA,Single Display,Classroom/Lab,None,II,2008,Document,None,Mac,None,Data Projector,1,None,None,20000.00,4857,SC130,Spoelhof Center
131,60,"Chalkboard - Large, Tack Board, Whiteboard - Large",8-foot,Wireless Projection,Dual Display,Classroom/Lab,None,III,2023,None,None,None,None,Data Projector,3,None,None,20000.00,4858,SC120 ,Spoelhof Center
132,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,None,None,None,4859,SC100,Spoelhof Center
133,15,None,6-foot,"VGA, Audio - Line",Single Display,Classroom/Lab,None,II,2005,None,None,Mac,None,Data Projector,1,None,None,20000.00,4860,SC110,Spoelhof Center
134,32,"Smart Board, Tack Board, Whiteboard - Small",None,"HDMI, VGA, Audio - Line",Single Display,Classroom/Lab,None,II,2013,Document,Smart,PC,None,Data Projector,1,None,None,20000.00,4861,SC312,Spoelhof Center
135,32,"Smart Board, Tack Board, Whiteboard - Small",None,"HDMI, VGA, Audio - Line",Single Display,Classroom/Lab,None,II,2013,Document,Smart,PC,None,Data Projector,1,None,None,20000.00,4862,SC318,Spoelhof Center
136,32,"Smart Board, Tack Board, Whiteboard - Small",None,"HDMI, VGA, Audio - Line",Single Display,Classroom/Lab,None,II,2013,Document,Smart,PC,None,Data Projector,1,None,None,20000.00,4863,SC322,Spoelhof Center
137,None,"Tack Board, Chalkboard - Small",6-foot,HDMI,Single Display,Conference Room,None,I,2018,None,None,None,False,Data Projector,1,None,Windows,5000,4893,NH056,North Hall
138,None,None,None,"HDMI, VGA, Audio - Line, Wireless Projection",Teams Enabled,Conference Room,None,I,2022,Webcam,None,PC,None,Flat Screen,1,None,None,18000.00,4946,SC382 (Pres Conf),Spoelhof Center
139,None,Whiteboard - Large,6-foot,"VGA, Audio - Mic",Single Display,Conference Room,None,I,2005,None,Smart,PC,None,Data Projector,1,None,Windows,20000.00,4947,EB140,Engineering Building
140,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,None,None,None,4948,EB130,Engineering Building
141,None,Chalkboard - Large,None,VGA,Single Display,Conference Room,None,I,2010,None,None,None,False,Data Projector,1,None,Windows,5000,4954,HH366,Hiemenga Hall
142,None,Whiteboard - Small,6-foot,VGA,Single Display,Conference Room,None,II,2010,Document,Smart,PC,None,Data Projector,1,None,Windows,20000.00,4961,SC300,Spoelhof Center
143,None,None,None,"HDMI, Audio - Mic, Wireless Projection",Single Display,Custom Classroom/Lab,None,III,2021,None,None,None,False,Data Projector,1,None,Windows,5000,4970,CF139C,CFAC
144,12,"Whiteboard - Large, Whiteboard - Small",8-foot,"HDMI, Audio - Line",Single Display,Classroom/Lab,Mac,II,2018,None,None,None,False,Data Projector,1,None,"Piano, Windows",20000,4971,CF224,CFAC
145,None,None,None,None,None,Conference Room,None,I, ,None,None,None,False,None,0,None,None,10000,4972,CF225,CFAC
146,None,None,None,None,None,Conference Room,None,I, ,None,None,None,False,None,0,None,Windows,5000,4973,CF254,CFAC
